@relation kitchenham

@attribute Project string
@attribute Client.code {1,2,3,4,5,6}
@attribute Project.type {A,C,D,P,Pr,U}
@attribute Actual.start.date date "YYYY-MM-DD"
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute Estimated.completion.date date "YYYY-MM-DD"
@attribute First.estimate numeric
@attribute First.estimate.method {A,C,CAE,D,EO,W}

@data
110,2,D,1994-11-01,87,150.29,1995-02-27,2606,EO,1737
111,2,D,1994-11-07,291,1940.68,1995-08-25,12694,EO,12646
112,2,D,1994-01-14,392,401,1995-02-10,4176,EO,4414
113,2,D,1995-02-13,165,267,1995-07-28,2240,EO,2480
114,2,D,1995-09-11,88,102,1995-12-18,980,EO,980
115,2,D,1994-05-23,249,403,1995-01-27,3720,EO,3189
116,2,D,1994-12-12,186,857,1995-06-16,2914,EO,2895
117,2,D,1994-12-09,63,69,1995-02-10,360,EO,322
118,2,A,1995-10-09,192,980.95,1996-06-03,3700,EO,3555
119,2,P,1995-02-13,123,100.8,1995-06-16,200,EO,570
120,2,P,1997-05-02,123,105.28,1997-09-15,578,EO,464
121,2,D,1997-01-13,186,158.4,?,1652,EO,1742
122,2,D,1998-09-18,119,219.88,1998-11-30,780,A,896
123,2,P,1997-11-01,195,1292.56,1998-04-24,8690,EO,8656
124,2,P,1997-11-07,210,616.08,1998-05-29,3748,EO,3966
125,2,D,1994-09-04,180,103.4,1995-03-03,710,EO,989
126,2,P,1998-05-30,238,74.4,1999-02-20,856,EO,585
127,2,P,1997-09-16,144,356.31,1997-12-01,2436,EO,1860
128,2,P,1997-12-08,432,862,1998-11-23,4101,EO,5249
129,2,P,1997-06-27,392,791.84,1998-02-02,5231,EO,5192
130,2,D,1998-08-01,205,661.27,1998-11-20,2853,A,1832
131,2,D,1995-01-13,49,179,1995-03-03,1246,EO,928
132,3,P,1996-06-10,205,518.4,1997-01-15,2570,EO,2570
133,3,D,1995-01-01,145,370,1995-12-31,1328,EO,1328
134,3,D,1997-02-02,172,839.05,1997-08-22,3380,EO,2964
135,3,P,1997-07-21,137,243.86,1997-12-05,1522,EO,1304
136,4,D,1996-12-02,371,557.28,1997-09-04,2264,EO,1631
137,4,C,1997-01-10,217,485.94,1997-08-29,2790,EO,955
138,4,D,1997-02-07,308,698.54,1997-12-26,1312,EO,286
139,4,D,1997-03-17,217,752.64,1997-12-28,2210,A,1432
140,5,D,1996-09-23,40,809.25,1996-11-12,337,EO,321
141,6,P,1995-06-19,253,178.1,1995-03-03,865,EO,593
142,6,P,1997-08-27,405,81.48,1998-10-06,441,EO,302
143,6,P,1997-05-05,241,1093.86,1998-01-01,2731,EO,2634
144,6,?,1995-08-07,156,1002.76,1995-12-10,1039,EO,1040
145,2,D,1998-11-13,92,551.88,1999-02-25,1393,A,887
