Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : path, 		Predicted : path, 		Log of likelihood : -53.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -55.22
Expected : path, 		Predicted : path, 		Log of likelihood : -54.78
Expected : window, 		Predicted : window, 		Log of likelihood : -59.58
Expected : path, 		Predicted : path, 		Log of likelihood : -57.07
Expected : window, 		Predicted : window, 		Log of likelihood : -59.42
Expected : path, 		Predicted : path, 		Log of likelihood : -55.98
Expected : path, 		Predicted : path, 		Log of likelihood : -57.61
Expected : window, 		Predicted : window, 		Log of likelihood : -59.74
Expected : path, 		Predicted : path, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -55.80
Expected : window, 		Predicted : window, 		Log of likelihood : -59.44
Expected : path, 		Predicted : path, 		Log of likelihood : -58.25
Expected : window, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -59.85
Expected : window, 		Predicted : window, 		Log of likelihood : -59.17
Expected : window, 		Predicted : path, 		Log of likelihood : -57.37
Expected : path, 		Predicted : path, 		Log of likelihood : -57.90
Expected : path, 		Predicted : path, 		Log of likelihood : -53.94
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : path, 		Log of likelihood : -58.38
Expected : window, 		Predicted : window, 		Log of likelihood : -72.30
Expected : window, 		Predicted : window, 		Log of likelihood : -61.28
Expected : window, 		Predicted : window, 		Log of likelihood : -72.13
Expected : window, 		Predicted : window, 		Log of likelihood : -59.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -58.05
Expected : path, 		Predicted : path, 		Log of likelihood : -60.83
Expected : path, 		Predicted : path, 		Log of likelihood : -56.34
Expected : window, 		Predicted : window, 		Log of likelihood : -61.14
Expected : window, 		Predicted : path, 		Log of likelihood : -54.67
Expected : path, 		Predicted : path, 		Log of likelihood : -53.34
Expected : path, 		Predicted : path, 		Log of likelihood : -58.01
Expected : path, 		Predicted : path, 		Log of likelihood : -53.36
Expected : path, 		Predicted : path, 		Log of likelihood : -57.62
Expected : window, 		Predicted : window, 		Log of likelihood : -60.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.33
Expected : window, 		Predicted : window, 		Log of likelihood : -59.93
Expected : window, 		Predicted : window, 		Log of likelihood : -74.60
Expected : path, 		Predicted : window, 		Log of likelihood : -75.87
Expected : path, 		Predicted : path, 		Log of likelihood : -56.12
Expected : path, 		Predicted : path, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -68.01
Expected : path, 		Predicted : path, 		Log of likelihood : -58.98
Expected : window, 		Predicted : window, 		Log of likelihood : -62.37
Expected : window, 		Predicted : window, 		Log of likelihood : -61.74


Era 2
Expected : window, 		Predicted : window, 		Log of likelihood : -58.60
Expected : path, 		Predicted : path, 		Log of likelihood : -75.49
Expected : window, 		Predicted : window, 		Log of likelihood : -57.37
Expected : path, 		Predicted : path, 		Log of likelihood : -58.63
Expected : path, 		Predicted : path, 		Log of likelihood : -59.11
Expected : window, 		Predicted : window, 		Log of likelihood : -57.20
Expected : window, 		Predicted : window, 		Log of likelihood : -61.64
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -58.18
Expected : window, 		Predicted : window, 		Log of likelihood : -56.25
Expected : window, 		Predicted : window, 		Log of likelihood : -57.43
Expected : window, 		Predicted : path, 		Log of likelihood : -58.26
Expected : window, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -58.15
Expected : path, 		Predicted : path, 		Log of likelihood : -57.93
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -60.29
Expected : window, 		Predicted : window, 		Log of likelihood : -56.77
Expected : window, 		Predicted : window, 		Log of likelihood : -67.00
Expected : window, 		Predicted : window, 		Log of likelihood : -57.23
Expected : path, 		Predicted : path, 		Log of likelihood : -58.09
Expected : window, 		Predicted : window, 		Log of likelihood : -58.33
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.57
Expected : path, 		Predicted : path, 		Log of likelihood : -53.06
Expected : window, 		Predicted : window, 		Log of likelihood : -55.91
Expected : path, 		Predicted : path, 		Log of likelihood : -56.19
Expected : window, 		Predicted : window, 		Log of likelihood : -56.55
Expected : window, 		Predicted : window, 		Log of likelihood : -61.73
Expected : path, 		Predicted : window, 		Log of likelihood : -66.04
Expected : path, 		Predicted : path, 		Log of likelihood : -53.81
Expected : window, 		Predicted : window, 		Log of likelihood : -67.68
Expected : path, 		Predicted : path, 		Log of likelihood : -60.40
Expected : path, 		Predicted : path, 		Log of likelihood : -56.10
Expected : window, 		Predicted : window, 		Log of likelihood : -66.20
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : window, 		Log of likelihood : -57.27
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : window, 		Predicted : window, 		Log of likelihood : -58.39
Expected : path, 		Predicted : path, 		Log of likelihood : -57.24
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -53.98
Expected : window, 		Predicted : window, 		Log of likelihood : -59.70
Expected : path, 		Predicted : path, 		Log of likelihood : -56.40
Expected : path, 		Predicted : path, 		Log of likelihood : -57.07
Expected : path, 		Predicted : path, 		Log of likelihood : -54.85
Expected : window, 		Predicted : path, 		Log of likelihood : -58.55
Expected : window, 		Predicted : window, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.92
Expected : path, 		Predicted : path, 		Log of likelihood : -54.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.78
Expected : window, 		Predicted : window, 		Log of likelihood : -86.33
Expected : window, 		Predicted : window, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -57.03
Expected : path, 		Predicted : path, 		Log of likelihood : -54.83
Expected : window, 		Predicted : window, 		Log of likelihood : -56.89
Expected : path, 		Predicted : path, 		Log of likelihood : -57.76
Expected : window, 		Predicted : window, 		Log of likelihood : -59.05
Expected : window, 		Predicted : path, 		Log of likelihood : -369.41
Expected : window, 		Predicted : window, 		Log of likelihood : -58.28
Expected : path, 		Predicted : path, 		Log of likelihood : -65.54
Expected : path, 		Predicted : window, 		Log of likelihood : -62.70
Expected : window, 		Predicted : window, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -57.98
Expected : path, 		Predicted : path, 		Log of likelihood : -56.35
Expected : window, 		Predicted : window, 		Log of likelihood : -68.15
Expected : path, 		Predicted : path, 		Log of likelihood : -57.21
Expected : window, 		Predicted : path, 		Log of likelihood : -60.00
Expected : window, 		Predicted : window, 		Log of likelihood : -109.01
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : path, 		Predicted : path, 		Log of likelihood : -58.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.31
Expected : window, 		Predicted : window, 		Log of likelihood : -67.10
Expected : path, 		Predicted : path, 		Log of likelihood : -54.07
Expected : path, 		Predicted : path, 		Log of likelihood : -58.01
Expected : window, 		Predicted : window, 		Log of likelihood : -59.20
Expected : path, 		Predicted : path, 		Log of likelihood : -57.71
Expected : window, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.66
Expected : path, 		Predicted : path, 		Log of likelihood : -59.59
Expected : path, 		Predicted : path, 		Log of likelihood : -64.78
Expected : path, 		Predicted : window, 		Log of likelihood : -98.32
Expected : path, 		Predicted : path, 		Log of likelihood : -54.67
Expected : window, 		Predicted : window, 		Log of likelihood : -58.35
Expected : path, 		Predicted : path, 		Log of likelihood : -53.78
Expected : window, 		Predicted : window, 		Log of likelihood : -59.51
Expected : window, 		Predicted : window, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -58.19
Expected : path, 		Predicted : window, 		Log of likelihood : -67.37
Expected : window, 		Predicted : window, 		Log of likelihood : -406.24
Expected : window, 		Predicted : window, 		Log of likelihood : -57.51
Expected : window, 		Predicted : window, 		Log of likelihood : -56.62
Expected : path, 		Predicted : path, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -67.66
Expected : window, 		Predicted : window, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -73.72
Expected : window, 		Predicted : window, 		Log of likelihood : -58.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.54
Expected : window, 		Predicted : window, 		Log of likelihood : -58.60
Expected : path, 		Predicted : path, 		Log of likelihood : -75.49
Expected : window, 		Predicted : window, 		Log of likelihood : -57.37
Expected : path, 		Predicted : path, 		Log of likelihood : -58.63
Expected : path, 		Predicted : path, 		Log of likelihood : -59.11
Expected : window, 		Predicted : window, 		Log of likelihood : -57.20
Expected : window, 		Predicted : window, 		Log of likelihood : -61.64
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -58.18
Expected : window, 		Predicted : window, 		Log of likelihood : -56.25
Expected : window, 		Predicted : window, 		Log of likelihood : -57.43
Expected : window, 		Predicted : path, 		Log of likelihood : -58.26
Expected : window, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -58.15
Expected : path, 		Predicted : path, 		Log of likelihood : -57.93
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -60.29
Expected : window, 		Predicted : window, 		Log of likelihood : -56.77
Expected : window, 		Predicted : window, 		Log of likelihood : -67.00
Expected : window, 		Predicted : window, 		Log of likelihood : -57.23
Expected : path, 		Predicted : path, 		Log of likelihood : -58.09
Expected : window, 		Predicted : window, 		Log of likelihood : -58.33
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.57
Expected : path, 		Predicted : path, 		Log of likelihood : -53.06
Expected : window, 		Predicted : window, 		Log of likelihood : -55.91
Expected : path, 		Predicted : path, 		Log of likelihood : -56.19
Expected : window, 		Predicted : window, 		Log of likelihood : -56.55
Expected : window, 		Predicted : window, 		Log of likelihood : -61.73
Expected : path, 		Predicted : window, 		Log of likelihood : -66.04
Expected : path, 		Predicted : path, 		Log of likelihood : -53.81
Expected : window, 		Predicted : window, 		Log of likelihood : -67.68
Expected : path, 		Predicted : path, 		Log of likelihood : -60.40
Expected : path, 		Predicted : path, 		Log of likelihood : -56.10
Expected : window, 		Predicted : window, 		Log of likelihood : -66.20
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : window, 		Log of likelihood : -57.27
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : window, 		Predicted : window, 		Log of likelihood : -58.39
Expected : path, 		Predicted : path, 		Log of likelihood : -57.24
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -53.98
Expected : window, 		Predicted : window, 		Log of likelihood : -59.70
Expected : path, 		Predicted : path, 		Log of likelihood : -56.40
Expected : path, 		Predicted : path, 		Log of likelihood : -57.07
Expected : path, 		Predicted : path, 		Log of likelihood : -54.85
Expected : window, 		Predicted : path, 		Log of likelihood : -58.55
Expected : window, 		Predicted : window, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.92
Expected : path, 		Predicted : path, 		Log of likelihood : -54.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.78
Expected : window, 		Predicted : window, 		Log of likelihood : -86.33
Expected : window, 		Predicted : window, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -57.03
Expected : path, 		Predicted : path, 		Log of likelihood : -54.83
Expected : window, 		Predicted : window, 		Log of likelihood : -56.89
Expected : path, 		Predicted : path, 		Log of likelihood : -57.76
Expected : window, 		Predicted : window, 		Log of likelihood : -59.05
Expected : window, 		Predicted : path, 		Log of likelihood : -369.41
Expected : window, 		Predicted : window, 		Log of likelihood : -58.28
Expected : path, 		Predicted : path, 		Log of likelihood : -65.54
Expected : path, 		Predicted : window, 		Log of likelihood : -62.70
Expected : window, 		Predicted : window, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -57.98
Expected : path, 		Predicted : path, 		Log of likelihood : -56.35
Expected : window, 		Predicted : window, 		Log of likelihood : -68.15
Expected : path, 		Predicted : path, 		Log of likelihood : -57.21
Expected : window, 		Predicted : path, 		Log of likelihood : -60.00
Expected : window, 		Predicted : window, 		Log of likelihood : -109.01
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : path, 		Predicted : path, 		Log of likelihood : -58.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.31
Expected : window, 		Predicted : window, 		Log of likelihood : -67.10
Expected : path, 		Predicted : path, 		Log of likelihood : -54.07
Expected : path, 		Predicted : path, 		Log of likelihood : -58.01
Expected : window, 		Predicted : window, 		Log of likelihood : -59.20
Expected : path, 		Predicted : path, 		Log of likelihood : -57.71
Expected : window, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.66
Expected : path, 		Predicted : path, 		Log of likelihood : -59.59
Expected : path, 		Predicted : path, 		Log of likelihood : -64.78
Expected : path, 		Predicted : window, 		Log of likelihood : -98.32
Expected : path, 		Predicted : path, 		Log of likelihood : -54.67
Expected : window, 		Predicted : window, 		Log of likelihood : -58.35
Expected : path, 		Predicted : path, 		Log of likelihood : -53.78
Expected : window, 		Predicted : window, 		Log of likelihood : -59.51
Expected : window, 		Predicted : window, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -58.19
Expected : path, 		Predicted : window, 		Log of likelihood : -67.37
Expected : window, 		Predicted : window, 		Log of likelihood : -406.24
Expected : window, 		Predicted : window, 		Log of likelihood : -57.51
Expected : window, 		Predicted : window, 		Log of likelihood : -56.62
Expected : path, 		Predicted : path, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -67.66
Expected : window, 		Predicted : window, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -73.72
Expected : window, 		Predicted : window, 		Log of likelihood : -58.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.54


Era 3
Expected : path, 		Predicted : path, 		Log of likelihood : -55.99
Expected : window, 		Predicted : window, 		Log of likelihood : -58.25
Expected : path, 		Predicted : path, 		Log of likelihood : -55.21
Expected : path, 		Predicted : path, 		Log of likelihood : -55.86
Expected : window, 		Predicted : window, 		Log of likelihood : -69.83
Expected : path, 		Predicted : path, 		Log of likelihood : -58.76
Expected : window, 		Predicted : window, 		Log of likelihood : -69.67
Expected : window, 		Predicted : window, 		Log of likelihood : -60.22
Expected : path, 		Predicted : path, 		Log of likelihood : -56.08
Expected : window, 		Predicted : window, 		Log of likelihood : -58.90
Expected : window, 		Predicted : window, 		Log of likelihood : -59.81
Expected : path, 		Predicted : path, 		Log of likelihood : -56.65
Expected : window, 		Predicted : window, 		Log of likelihood : -57.92
Expected : window, 		Predicted : path, 		Log of likelihood : -58.03
Expected : window, 		Predicted : window, 		Log of likelihood : -68.36
Expected : window, 		Predicted : path, 		Log of likelihood : -61.86
Expected : path, 		Predicted : path, 		Log of likelihood : -59.35
Expected : path, 		Predicted : path, 		Log of likelihood : -58.58
Expected : path, 		Predicted : path, 		Log of likelihood : -61.24
Expected : path, 		Predicted : path, 		Log of likelihood : -59.27
Expected : path, 		Predicted : path, 		Log of likelihood : -68.21
Expected : window, 		Predicted : window, 		Log of likelihood : -58.71
Expected : window, 		Predicted : window, 		Log of likelihood : -66.91
Expected : window, 		Predicted : window, 		Log of likelihood : -58.84
Expected : path, 		Predicted : path, 		Log of likelihood : -57.20
Expected : window, 		Predicted : window, 		Log of likelihood : -58.60
Expected : window, 		Predicted : window, 		Log of likelihood : -59.06
Expected : window, 		Predicted : window, 		Log of likelihood : -103.59
Expected : path, 		Predicted : path, 		Log of likelihood : -53.68
Expected : window, 		Predicted : window, 		Log of likelihood : -59.87
Expected : path, 		Predicted : path, 		Log of likelihood : -57.56
Expected : path, 		Predicted : path, 		Log of likelihood : -59.12
Expected : path, 		Predicted : path, 		Log of likelihood : -56.22
Expected : path, 		Predicted : path, 		Log of likelihood : -60.79
Expected : window, 		Predicted : window, 		Log of likelihood : -62.33
Expected : window, 		Predicted : window, 		Log of likelihood : -58.06
Expected : window, 		Predicted : window, 		Log of likelihood : -59.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.78
Expected : path, 		Predicted : path, 		Log of likelihood : -57.85
Expected : path, 		Predicted : path, 		Log of likelihood : -61.11
Expected : path, 		Predicted : path, 		Log of likelihood : -54.67
Expected : path, 		Predicted : path, 		Log of likelihood : -58.34
Expected : path, 		Predicted : path, 		Log of likelihood : -53.42
Expected : path, 		Predicted : path, 		Log of likelihood : -56.03
Expected : path, 		Predicted : path, 		Log of likelihood : -60.75
Expected : window, 		Predicted : window, 		Log of likelihood : -60.26
Expected : path, 		Predicted : path, 		Log of likelihood : -54.43
Expected : window, 		Predicted : window, 		Log of likelihood : -60.90
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : window, 		Log of likelihood : -60.21
Expected : window, 		Predicted : window, 		Log of likelihood : -68.83
Expected : path, 		Predicted : path, 		Log of likelihood : -68.82
Expected : path, 		Predicted : path, 		Log of likelihood : -57.90
Expected : path, 		Predicted : window, 		Log of likelihood : -64.84
Expected : window, 		Predicted : window, 		Log of likelihood : -58.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.88
Expected : window, 		Predicted : window, 		Log of likelihood : -58.21
Expected : path, 		Predicted : path, 		Log of likelihood : -59.39
Expected : path, 		Predicted : path, 		Log of likelihood : -56.00
Expected : window, 		Predicted : window, 		Log of likelihood : -68.99
Expected : path, 		Predicted : path, 		Log of likelihood : -53.94
Expected : path, 		Predicted : path, 		Log of likelihood : -68.21
Expected : window, 		Predicted : window, 		Log of likelihood : -59.51
Expected : path, 		Predicted : window, 		Log of likelihood : -64.36
